"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PKYBCACL","conferencePaper","2020","De la Cadena, Wladimir; Mitseva, Asya; Hiller, Jens; Pennekamp, Jan; Reuter, Sebastian; Filter, Julian; Engel, Thomas; Wehrle, Klaus; Panchenko, Andriy","TrafficSliver: Fighting Website Fingerprinting Attacks with Traffic Splitting","Proceedings of the 2020 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-7089-9","","10.1145/3372297.3423351","https://doi.org/10.1145/3372297.3423351","Website fingerprinting (WFP) aims to infer information about the content of encrypted and anonymized connections by observing patterns of data flows based on the size and direction of packets. By collecting traffic traces at a malicious Tor entry node — one of the weakest adversaries in the attacker model of Tor — a passive eavesdropper can leverage the captured meta-data to reveal the websites visited by a Tor user. As recently shown, WFP is significantly more effective and realistic than assumed. Concurrently, former WFP defenses are either infeasible for deployment in real-world settings or defend against specific WFP attacks only.To limit the exposure of Tor users to WFP, we propose novel lightweight WFP defenses, TrafficSliver, which successfully counter today's WFP classifiers with reasonable bandwidth and latency overheads and, thus, make them attractive candidates for adoption in Tor. Through user-controlled splitting of traffic over multiple Tor entry nodes, TrafficSliver limits the data a single entry node can observe and distorts repeatable traffic patterns exploited by WFP attacks. We first propose a network-layer defense, in which we apply the concept of multipathing entirely within the Tor network. We show that our network-layer defense reduces the accuracy from more than 98% to less than 16% for all state-of-the-art WFP attacks without adding any artificial delays or dummy traffic. We further suggest an elegant client-side application-layer defense, which is independent of the underlying anonymization network. By sending single HTTP requests for different web objects over distinct Tor entry nodes, our application-layer defense reduces the detection rate of WFP classifiers by almost 50 percentage points. Although it offers lower protection than our network-layer defense, it provides a security boost at the cost of a very low implementation overhead and is fully compatible with today's Tor network.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","1971–1985","","","","","","","CCS '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, USA","","","","privacy; web privacy; anonymous communication; onion routing; traffic analysis; website fingerprinting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMMXAW7X","conferencePaper","2021","Amos, Ryan; Acar, Gunes; Lucherini, Eli; Kshirsagar, Mihir; Narayanan, Arvind; Mayer, Jonathan","Privacy Policies over Time: Curation and Analysis of a Million-Document Dataset","Proceedings of the Web Conference 2021","978-1-4503-8312-7","","10.1145/3442381.3450048","https://doi.org/10.1145/3442381.3450048","","2021","2024-10-25 09:42:13","2024-10-25 09:42:13","","2165–2176","","","","","","","WWW '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Ljubljana, Slovenia","","","","data protection; web tracking; open dataset; privacy policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4SYABEF","conferencePaper","2018","Das, Anupam; Acar, Gunes; Borisov, Nikita; Pradeep, Amogh","The Web's Sixth Sense: A Study of Scripts Accessing Smartphone Sensors","Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-5693-0","","10.1145/3243734.3243860","https://doi.org/10.1145/3243734.3243860","We present the first large-scale measurement of smartphone sensor API usage and stateless tracking on the mobile web. We extend the OpenWPM web privacy measurement tool to develop OpenWPM-Mobile, adding the ability to emulate plausible sensor values for different smartphone sensors such as motion, orientation, proximity and light. Using OpenWPM-Mobile we find that one or more sensor APIs are accessed on 3695 of the top 100K websites by scripts originating from 603 distinct domains. We also detect fingerprinting attempts on mobile platforms, using techniques previously applied in the desktop setting. We find significant overlap between fingerprinting scripts and scripts accessing sensor data. For example, 63% of the scripts that access motion sensors also engage in browser fingerprinting. To better understand the real-world uses of sensor APIs, we cluster JavaScript programs that access device sensors and then perform automated code comparison and manual analysis. We find a significant disparity between the actual and intended use cases of device sensor as drafted by W3C. While some scripts access sensor data to enhance user experience, such as orientation detection and gesture recognition, tracking and analytics are the most common use cases among the scripts we analyzed. We automated the detection of sensor data exfiltration and observed that the raw readings are frequently sent to remote servers for further analysis. Finally, we evaluate available countermeasures against the misuse of sensor APIs. We find that popular tracking protection lists such as EasyList and Disconnect commonly fail to block most tracking scripts that misuse sensors. Studying nine popular mobile browsers we find that even privacy-focused browsers, such as Brave and Firefox Focus, fail to implement mitigations suggested by W3C, which includes limiting sensor access from insecure contexts and cross-origin iframes. We have reported these issues to the browser vendors.","2018","2024-10-25 09:42:13","2024-10-25 09:42:13","","1515–1532","","","","","","","CCS '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Toronto, Canada","","","","fingerprinting; mobile browser; on-line tracking; sensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVFSTL9D","conferencePaper","2018","Libert, Timothy","An Automated Approach to Auditing Disclosure of Third-Party Data Collection in Website Privacy Policies","Proceedings of the 2018 World Wide Web Conference","978-1-4503-5639-8","","10.1145/3178876.3186087","https://doi.org/10.1145/3178876.3186087","A dominant regulatory model for web privacy is ""notice and choice"". In this model, users are notified of data collection and provided with options to control it. To examine the efficacy of this approach, this study presents the first large-scale audit of disclosure of third-party data collection in website privacy policies. Data flows on one million websites are analyzed and over 200,000 websites' privacy policies are audited to determine if users are notified of the names of the companies which collect their data. Policies from 25 prominent third-party data collectors are also examined to provide deeper insights into the totality of the policy environment. Policies are additionally audited to determine if the choice expressed by the ""Do Not Track"" browser setting is respected.Third-party data collection is wide-spread, but fewer than 15% of attributed data flows are disclosed. The third-parties most likely to be disclosed are those with consumer services users may be aware of, those without consumer services are less likely to be mentioned. Policies are difficult to understand and the average time requirement to read both a given site»s policy and the associated third-party policies exceeds 84 minutes. Only 7% of first-party site policies mention the Do Not Track signal, and the majority of such mentions are to specify that the signal is ignored. Among third-party policies examined, none offer unqualified support for the Do Not Track signal. Findings indicate that current implementations of ""notice and choice"" fail to provide notice or respect choice.","2018","2024-10-25 09:42:13","2024-10-25 09:42:13","","207–216","","","","","","","WWW '18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Lyon, France","","","","web privacy; web security; internet policy; internet regulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GDFS53S","conferencePaper","2021","Papadogiannakis, Emmanouil; Papadopoulos, Panagiotis; Kourtellis, Nicolas; Markatos, Evangelos P.","User Tracking in the Post-cookie Era: How Websites Bypass GDPR Consent to Track Users","Proceedings of the Web Conference 2021","978-1-4503-8312-7","","10.1145/3442381.3450056","https://doi.org/10.1145/3442381.3450056","During the past few years, mostly as a result of the GDPR and the CCPA, websites have started to present users with cookie consent banners. These banners are web forms where the users can state their preference and declare which cookies they would like to accept, if such option exists. Although requesting consent before storing any identifiable information is a good start towards respecting the user privacy, yet previous research has shown that websites do not always respect user choices. Furthermore, considering the ever decreasing reliance of trackers on cookies and actions browser vendors take by blocking or restricting third-party cookies, we anticipate a world where stateless tracking emerges, either because trackers or websites do not use cookies, or because users simply refuse to accept any. In this paper, we explore whether websites use more persistent and sophisticated forms of tracking in order to track users who said they do not want cookies. Such forms of tracking include first-party ID leaking, ID synchronization, and browser fingerprinting. Our results suggest that websites do use such modern forms of tracking even before users had the opportunity to register their choice with respect to cookies. To add insult to injury, when users choose to raise their voice and reject all cookies, user tracking only intensifies. As a result, users’ choices play very little role with respect to tracking: we measured that more than 75% of tracking activities happened before users had the opportunity to make a selection in the cookie consent banner, or when users chose to reject all cookies.","2021","2024-10-25 09:42:13","2024-10-25 09:42:13","","2130–2141","","","","","","","WWW '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Ljubljana, Slovenia","","","","GDPR; User Consent; User Tracking; Web fingerprinting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E945AB9B","conferencePaper","2018","Iordanou, Costas; Smaragdakis, Georgios; Poese, Ingmar; Laoutaris, Nikolaos","Tracing Cross Border Web Tracking","Proceedings of the Internet Measurement Conference 2018","978-1-4503-5619-0","","10.1145/3278532.3278561","https://doi.org/10.1145/3278532.3278561","A tracking flow is a flow between an end user and a Web tracking service. We develop an extensive measurement methodology for quantifying at scale the amount of tracking flows that cross data protection borders, be it national or international, such as the EU28 border within which the General Data Protection Regulation (GDPR) applies. Our methodology uses a browser extension to fully render advertising and tracking code, various lists and heuristics to extract well known trackers, passive DNS replication to get all the IP ranges of trackers, and state-of-the art geolocation. We employ our methodology on a dataset from 350 real users of the browser extension over a period of more than four months, and then generalize our results by analyzing billions of web tracking flows from more than 60 million broadband and mobile users from 4 large European ISPs. We show that the majority of tracking flows cross national borders in Europe but, unlike popular belief, are pretty well confined within the larger GDPR jurisdiction. Simple DNS redirection and PoP mirroring can increase national confinement while sealing almost all tracking flows within Europe. Last, we show that cross boarder tracking is prevalent even in sensitive and hence protected data categories and groups including health, sexual orientation, minors, and others.","2018","2024-10-25 09:42:13","2024-10-25 09:42:13","","329–342","","","","","","","IMC '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Boston, MA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIRJSTGF","conferencePaper","2017","Sanchez-Rola, Iskander; Balzarotti, Davide; Santos, Igor","The Onions Have Eyes: A Comprehensive Structure and Privacy Analysis of Tor Hidden Services","Proceedings of the 26th International Conference on World Wide Web","978-1-4503-4913-0","","10.1145/3038912.3052657","https://doi.org/10.1145/3038912.3052657","Tor is a well known and widely used darknet, known for its anonymity. However, while its protocol and relay security have already been extensively studied, to date there is no comprehensive analysis of the structure and privacy of its Web Hidden Service.To fill this gap, we developed a dedicated analysis platform and used it to crawl and analyze over 1.5M URLs hosted in 7257 onion domains. For each page we analyzed its links, resources, and redirections graphs, as well as the language and category distribution. According to our experiments, Tor hidden services are organized in a sparse but highly connected graph, in which around 10% of the onions sites are completely isolated.Our study also measures for the first time the tight connection that exists between Tor hidden services and the Surface Web. In fact, more than 20% of the onion domains we visited imported resources from the Surface Web, and links to the Surface Web are even more prevalent than to other onion domains.Finally, we measured for the first time the prevalence and the nature of web tracking in Tor hidden services, showing that, albeit not as widespread as in the Surface Web, tracking is notably present also in the Dark Web: more than 40% of the scripts are used for this purpose, with the 70% of them being completely new tracking scripts unknown by existing anti-tracking solutions.","2017","2024-10-25 09:42:13","2024-10-25 09:42:13","","1251–1260","","","","","","","WWW '17","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Perth, Australia","","","","privacy; browser security &amp; dark web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMN9D75P","conferencePaper","2017","Overdorf, Rebekah; Juarez, Marc; Acar, Gunes; Greenstadt, Rachel; Diaz, Claudia","How Unique is Your .onion? An Analysis of the Fingerprintability of Tor Onion Services","Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-4946-8","","10.1145/3133956.3134005","https://doi.org/10.1145/3133956.3134005","Recent studies have shown that Tor onion (hidden) service websites are particularly vulnerable to website fingerprinting attacks due to their limited number and sensitive nature. In this work we present a multi-level feature analysis of onion site fingerprintability, considering three state-of-the-art website fingerprinting methods and 482 Tor onion services, making this the largest analysis of this kind completed on onion services to date.Prior studies typically report average performance results for a given website fingerprinting method or countermeasure. We investigate which sites are more or less vulnerable to fingerprinting and which features make them so. We find that there is a high variability in the rate at which sites are classified (and misclassified) by these attacks, implying that average performance figures may not be informative of the risks that website fingerprinting attacks pose to particular sites.We analyze the features exploited by the different website fingerprinting methods and discuss what makes onion service sites more or less easily identifiable, both in terms of their traffic traces as well as their webpage design. We study misclassifications to understand how onion services sites can be redesigned to be less vulnerable to website fingerprinting attacks. Our results also inform the design of website fingerprinting countermeasures and their evaluation considering disparate impact across sites.","2017","2024-10-25 09:42:13","2024-10-25 09:42:13","","2021–2036","","","","","","","CCS '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Dallas, Texas, USA","","","","web privacy; website fingerprinting; anonymous communications systems; tor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LY3B6TAB","conferencePaper","2018","Miroglio, Ben; Zeber, David; Kaye, Jofish; Weiss, Rebecca","The Effect of Ad Blocking on User Engagement with the Web","Proceedings of the 2018 World Wide Web Conference","978-1-4503-5639-8","","10.1145/3178876.3186162","https://doi.org/10.1145/3178876.3186162","Web users are increasingly turning to ad blockers to avoid ads, which are often perceived as annoying or an invasion of privacy. While there has been significant research into the factors driving ad blocker adoption and the detrimental effect to ad publishers on the Web, the resulting effects of ad blocker usage on Web users' browsing experience is not well understood. To approach this problem, we conduct a retrospective natural field experiment using Firefox browser usage data, with the goal of estimating the effect of adblocking on user engagement with the Web. We focus on new users who installed an ad blocker after a baseline observation period, to avoid comparing different populations. Their subsequent browser activity is compared against that of a control group, whose members do not use ad blockers, over a corresponding observation period, controlling for prior baseline usage. In order to estimate causal effects, we employ propensity score matching on a number of other features recorded during the baseline period. In the group that installed an ad blocker, we find significant increases in both active time spent in the browser (+28% over control) and the number of pages viewed (+15% over control), while seeing no change in the number of searches. Additionally, by reapplying the same methodology to other popular Firefox browser extensions, we show that these effects are specific to ad blockers. We conclude that ad blocking has a positive impact on user engagement with the Web, suggesting that any costs of using ad blockers to users' browsing experience are largely drowned out by the utility that they offer.","2018","2024-10-25 09:42:13","2024-10-25 09:42:13","","813–821","","","","","","","WWW '18","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Lyon, France","","","","ad blocking; matching; natural field experiment; propensity scoring; user studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUKMWQ4S","conferencePaper","2019","Vallina, Pelayo; Feal, Álvaro; Gamba, Julien; Vallina-Rodriguez, Narseo; Anta, Antonio Fernández","Tales from the Porn: A Comprehensive Privacy Analysis of the Web Porn Ecosystem","Proceedings of the Internet Measurement Conference","978-1-4503-6948-0","","10.1145/3355369.3355583","https://doi.org/10.1145/3355369.3355583","Modern privacy regulations, including the General Data Protection Regulation (GDPR) in the European Union, aim to control user tracking activities in websites and mobile applications. These privacy rules typically contain specific provisions and strict requirements for websites that provide sensitive material to end users such as sexual, religious, and health services. However, little is known about the privacy risks that users face when visiting such websites, and about their regulatory compliance. In this paper, we present the first comprehensive and large-scale analysis of 6,843 pornographic websites. We provide an exhaustive behavioral analysis of the use of tracking methods by these websites, and their lack of regulatory compliance, including the absence of age-verification mechanisms and methods to obtain informed user consent. The results indicate that, as in the regular web, tracking is prevalent across pornographic sites: 72% of the websites use third-party cookies and 5% leverage advanced user fingerprinting technologies. Yet, our analysis reveals a third-party tracking ecosystem semi-decoupled from the regular web in which various analytics and advertising services track users across, and outside, pornographic websites. We complete the paper with a regulatory compliance analysis in the context of the EU GDPR, and newer legal requirements to implement verifiable access control mechanisms (e.g., UK's Digital Economy Act). We find that only 16% of the analyzed websites have an accessible privacy policy and only 4% provide a cookie consent banner. The use of verifiable access control mechanisms is limited to prominent pornographic websites.","2019","2024-10-25 09:42:13","2024-10-25 09:42:13","","245–258","","","","","","","IMC '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Amsterdam, Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKE9KPA4","journalArticle","2017","Parra-Arnau, Javier; Achara, Jagdish Prasad; Castelluccia, Claude","MyAdChoices: Bringing Transparency and Control to Online Advertising","ACM Trans. Web","","1559-1131","10.1145/2996466","https://doi.org/10.1145/2996466","The intrusiveness and the increasing invasiveness of online advertising have, in the last few years, raised serious concerns regarding user privacy and Web usability. As a reaction to these concerns, we have witnessed the emergence of a myriad of ad-blocking and antitracking tools, whose aim is to return control to users over advertising. The problem with these technologies, however, is that they are extremely limited and radical in their approach: users can only choose either to block or allow all ads. With around 200 million people regularly using these tools, the economic model of the Web—in which users get content free in return for allowing advertisers to show them ads—is at serious peril. In this article, we propose a smart Web technology that aims at bringing transparency to online advertising, so that users can make an informed and equitable decision regarding ad blocking. The proposed technology is implemented as a Web-browser extension and enables users to exert fine-grained control over advertising, thus providing them with certain guarantees in terms of privacy and browsing experience, while preserving the Internet economic model. Experimental results in a real environment demonstrate the suitability and feasibility of our approach, and provide preliminary findings on behavioral targeting from real user browsing profiles.","2017-03","2024-10-25 09:42:13","2024-10-25 09:42:13","","","","1","11","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","web tracking; ad-blocking; behavioral targeting; Online advertising; user profiling; web transparency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
